
data/sprites/items/

bag01.png  bleutailfly; OGA BY 3.0; Stendhal (unused)

data/sprites/items/ammunition/

dark_arrow.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
fire_arrow.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
fumble_arrow.png    bleutailfly; OGA BY 3.0; Stendhal
golden_arrow.png    David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_bolt.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
ice_arrow.png       David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
light_arrow.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
poison_arrow.png    bleutailfly; OGA BY 3.0; Stendhal
power_arrow.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
power_bolt.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
slowdown_arrow.png  bleutailfly; OGA BY 3.0; Stendhal
speedup_arrow.png   bleutailfly; OGA BY 3.0; Stendhal
steel_arrow.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
steel_bolt.png      David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
wooden_arrow.png    bleutailfly; OGA BY 3.0; Stendhal
wooden_bolt.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/

data/sprites/items/armor/

barbarian_armor.png           Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
black_armor.png               Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
blue_armor.png                bleutailfly; OGA BY 3.0; Stendhal
chain_armor.png               Clint Bellanger, Justin Nichol, Jordan Irwin (AntumDeluge); OGA BY 3.0; Stendhal, https://opengameart.org/node/13879
chaos_armor.png               ScratchIO; CC0; https://opengameart.org/node/108448
dress.png                     Katherine Fitch (amaranthia); CC0; https://opengameart.org/node/51660
dwarvish_armor.png            Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
earth_robe.png                David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
elvish_armor.png              Groundhug McHampster (h4mt4r0); GPL 2.0 or newer; https://sourceforge.net/p/arianne/patches/270/
enhanced_chainmail.png        David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
enhanced_iron_cuirass.png     David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
enhanced_leather_cuirass.png  David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
fire_robe.png                 David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_armor.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
golden_chainmail.png          David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
ice_armor.png                 David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
iron_scale_armor.png          David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
leather_armor.png             Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
leather_cuirass.png           David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
leather_scale_armor.png       David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
magic_plate_armor.*           Dungeon Crawl Stone Soup, Jordan Irwin (AntumDeluge); OGA BY 3.0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
mainio_armor.png              Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
mithril_armor.png             janay; CC BY-SA 3.0; Stendhal  was submitted by tigertoes
plate_armor.png               Dungeon Crawl Stone Soup; CC0; https://opengameart.org/node/12210, https://crawl.develz.org/wordpress/
red_armor.png                 bleutailfly; OGA BY 3.0; Stendhal
scale_armor.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
scuba_gear.png                Diligent Dodo (soniccuz); CC BY-SA 3.0/4.0; Stendhal
shadow_armor.png              David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/
stone_armor.png               David E. Gervais; CC BY 3.0; http://pousse.rapiere.free.fr/tome/; edited?
